Rule ID,Rule Name,Category,Severity,Status,Confidence,Evidence Preview
confidentiality_clause,Confidentiality Clause Presence,Confidentiality,High,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
term_duration,Contract Term Duration,Term,High,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
termination_clause,Termination Clause,Termination,High,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
governing_law,Governing Law Clause,Legal,Medium,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
indemnification,Indemnification Clause,Liability,High,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
ip_ownership,Intellectual Property Ownership,Intellectual Property,High,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
payment_terms,Payment Terms,Financial,High,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
warranties,Warranties and Representations,Liability,Medium,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
limitation_liability,Limitation of Liability,Liability,Medium,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
dispute_resolution,Dispute Resolution Mechanism,Legal,Medium,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
assignment_clause,Assignment Clause,Transfer,Low,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
force_majeure,Force Majeure Clause,Risk,Medium,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
notices,Notices Provision,Administrative,Low,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
entire_agreement,Entire Agreement Clause,Legal,Medium,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
severability,Severability Clause,Legal,Low,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
amendment_process,Amendment Process,Administrative,Low,Error,Low,Error during analysis: 404 POST https://generativelanguage.googleapis.com/v1beta/models/gemini-pro:g...
